route_id,direction,order,stop_name,time_to_next,direction_name
262區,1,32,頂好市場,1,往民生社區
262區,1,33,捷運忠孝敦化站,1,往民生社區
262區,1,34,市民大道口,1,往民生社區
262區,1,35,市立體育場,2,往民生社區
262區,1,36,臺北小巨蛋,1,往民生社區
262區,1,37,長庚醫院,1,往民生社區
262區,1,38,公教住宅,1,往民生社區
262區,1,39,介壽國中,2,往民生社區
262區,1,40,聯合二村,1,往民生社區
262區,1,41,民生社區活動中心,0,往民生社區
262區,1,42,新東街口,2,往民生社區
262區,1,43,塔悠路,1,往民生社區
262區,1,44,撫遠抽水站,0,往民生社區
262區,1,45,塔悠疏散門,2,往民生社區
262區,2,46,莊敬里,5,往中和
262區,2,47,新益里,1,往中和
262區,2,48,民生國中,1,往中和
262區,2,49,新東街口,1,往中和
262區,2,50,民生社區活動中心,1,往中和
262區,2,51,聯合二村,1,往中和
262區,2,52,介壽國中,2,往中和
262區,2,53,公教住宅,0,往中和
262區,2,54,富錦街口,1,往中和
262區,2,55,松山機場,1,往中和
262區,2,56,民生敦化路口,2,往中和
262區,2,57,長春敦化路口,1,往中和
262區,2,58,臺北小巨蛋,2,往中和
262區,2,59,八德敦化路口,0,往中和
262區,2,60,市民敦化路口,2,往中和
262區,2,61,頂好市場,1,往中和
262區,2,62,捷運忠孝復興站,1,往中和
262區,2,63,正義郵局,1,往中和
262區,2,64,臺北科技大學（忠孝）,2,往中和
262區,2,65,忠孝國小,0,往中和
262區,2,66,華山文創園區,1,往中和
262區,2,67,捷運善導寺站,1,往中和
262區,2,68,臺北車站（忠孝）,2,往中和
262區,2,69,中華路北站,1,往中和
262區,2,70,捷運西門站,2,往中和
262區,2,71,小南門（和平院區）,1,往中和
262區,2,72,捷運小南門站,1,往中和
262區,2,73,中正二分局,1,往中和
262區,2,74,寧波重慶路口,1,往中和
262區,2,75,重慶南路三段（中正橋）,1,往中和
262區,2,76,捷運頂溪站,2,往中和
262區,2,77,中興街口,2,往中和
262區,2,78,豫溪街口（中正路）,1,往中和
262區,2,79,大新街,1,往中和
262區,2,80,福和里,1,往中和
262區,2,81,永和國小,2,往中和
262區,2,82,得和路口,1,往中和
262區,2,83,中興新村,1,往中和
262區,2,84,中興二村,2,往中和
262區,2,85,智光商職,1,往中和
262區,2,86,南勢角（景平路）,1,往中和
262區,2,87,中和教會,1,往中和
262區,2,88,捷運景安站（景平路）,1,往中和
262區,2,89,南華路口,1,往中和
262區,2,90,中和區公所（景平路）,1,往中和
262區,2,91,連城路口,2,往中和
262區,2,92,捷運中和站（中山路）,1,往中和
262區,2,93,家美工業區,1,往中和
262區,2,94,中和保養廠,1,往中和
,,,,,
270,1,1,中華科技大學（正門）,0,往捷運西門站
270,1,2,中華科技大學,0,往捷運西門站
270,1,3,軍人公墓,1,往捷運西門站
270,1,4,凌雲站,1,往捷運西門站
270,1,5,九如里二,1,往捷運西門站
270,1,6,凌雲五村,1,往捷運西門站
270,1,7,九如里一,1,往捷運西門站
270,1,8,胡適公園,1,往捷運西門站
270,1,9,中研院,1,往捷運西門站
270,1,10,中研新村,1,往捷運西門站
270,1,11,圓拱橋,1,往捷運西門站
270,1,12,南港水廠,1,往捷運西門站
270,1,13,誠正國中,2,往捷運西門站
270,1,14,國家文官學院,2,往捷運西門站
270,1,15,台北生技園區,1,往捷運西門站
270,1,16,捷運南港站,1,往捷運西門站
270,1,17,南港機廠,2,往捷運西門站
270,1,18,捷運昆陽站,2,往捷運西門站
270,1,19,陸軍後勤指揮部,1,往捷運西門站
270,1,20,國華新村,1,往捷運西門站
270,1,21,聯合醫院忠孝院區,1,往捷運西門站
270,1,22,捷運後山埤站（忠孝）,2,往捷運西門站
270,1,23,春光公園,2,往捷運西門站
270,1,24,永春里（忠孝）,1,往捷運西門站
270,1,25,捷運永春站（忠孝）,1,往捷運西門站
270,1,26,市立工農,1,往捷運西門站
270,1,27,消防局（忠孝）,2,往捷運西門站
270,1,28,捷運市政府站,1,往捷運西門站
270,1,29,聯合報,2,往捷運西門站
270,1,30,國父紀念館,3,往捷運西門站
270,1,31,仁愛光復路口,1,往捷運西門站
270,1,32,仁愛延吉街口,1,往捷運西門站
270,1,33,仁愛國泰醫院,1,往捷運西門站
270,1,34,仁愛安和路口,1,往捷運西門站
270,1,35,仁愛敦化路口（圓環）,1,往捷運西門站
270,1,36,仁愛復興路口（福華飯店）,2,往捷運西門站
270,1,37,仁愛建國路口二,2,往捷運西門站
270,1,38,幸安國小,1,往捷運西門站
270,1,39,仁愛新生路口,1,往捷運西門站
270,1,40,仁愛臨沂街口,1,往捷運西門站
270,1,41,仁愛杭州路口,1,往捷運西門站
270,1,42,仁愛林森路口,2,往捷運西門站
270,1,43,仁愛中山路口,1,往捷運西門站
270,1,44,一女中（貴陽）,2,往捷運西門站
270,1,45,東吳大學城中校區,3,往捷運西門站
270,1,46,小南門（和平院區）,1,往捷運西門站
270,1,47,捷運西門站,1,往捷運西門站
270,2,48,臺北市憲兵隊,0,往中華科技大學
270,2,49,東吳大學城中校區,1,往中華科技大學
270,2,50,一女中（貴陽）,2,往中華科技大學
270,2,51,仁愛中山路口,3,往中華科技大學
270,2,52,仁愛林森路口,1,往中華科技大學
270,2,53,仁愛紹興街口,1,往中華科技大學
270,2,54,仁愛臨沂街口,1,往中華科技大學
270,2,55,仁愛新生路口,2,往中華科技大學
270,2,56,幸安國小,1,往中華科技大學
270,2,57,仁愛建國路口一,1,往中華科技大學
270,2,58,仁愛建國路口二,1,往中華科技大學
270,2,59,仁愛復興路口（福華飯店）,1,往中華科技大學
270,2,60,仁愛大安路口（仁愛醫院）,1,往中華科技大學
270,2,61,仁愛敦化路口（圓環）,1,往中華科技大學
270,2,62,仁愛安和路口,3,往中華科技大學
270,2,63,仁愛國泰醫院,1,往中華科技大學
270,2,64,仁愛延吉街口,1,往中華科技大學
270,2,65,仁愛光復路口,1,往中華科技大學
270,2,66,國父紀念館,1,往中華科技大學
270,2,67,市政府（市府）,1,往中華科技大學
270,2,68,捷運市政府站,1,往中華科技大學
270,2,69,市立工農,4,往中華科技大學
270,2,70,捷運永春站（忠孝）,1,往中華科技大學
270,2,71,永春里（忠孝）,2,往中華科技大學
270,2,72,春光公園,1,往中華科技大學
270,2,73,捷運後山埤站（忠孝）,2,往中華科技大學
270,2,74,聯合醫院忠孝院區,1,往中華科技大學
270,2,75,國華新村,2,往中華科技大學
270,2,76,陸軍後勤指揮部,1,往中華科技大學
270,2,77,捷運昆陽站,1,往中華科技大學
270,2,78,南港機廠,2,往中華科技大學
